pais;comentario
Canada;When viewing photos in a post I can't veiw all the photos, just the first ten. Commenting on them is ridiculous, and no friend request button. WTF Facebook SMH
India;While texting to one recipient, message preview from other recipients is not working. I could understand that I received a message only through the number present beside arrow.
Canada;this app doesn't work on my phone and needs to be fixed
Canada;Love love love Instagram! The app is amazing! The only thing is, when I try and post multiple pictures, when I get to the part in the posting process where you write the caption, the app crashes. Please fix!
United Kingdom;It's good to branch out for company's, just be careful what you put up for others to view. You never no who's looking...
India;Kindly provide us with an option to choose whether we want to join a group or no when a new group is created by someone.
Australia;I'm not using any bots. Totally BS that I have to delete the app regularly so I can use Instagram properly. Sort it out �
United Kingdom;❤️❤️
India;Whatsapp can never be like snapchat! Therefore stop copying it. After status whatsapp does not looks good. It is used as messaging app.
Hong Kong;I DO NOT WANT TO TURN ON NOTIFICATIONS!!!!! STOP ASKING ME EVERYTIME I REFRESH.\n\nAnd with every update, I see another effort to bombard my feed and notifications with ads and suggestions. It's getting very frustrating and seems ig never listens. If there's another option to ig, I would jump the boat immediately.
United Kingdom;Simple reliable fast and efficient
Hong Kong;I am sure that I have internet connection. However, it keeps saying that the page cannot be loaded as I do not have connection. I have tried several times already and it is still not working.
Canada;This update needs to do away with the direct option & bring back messenger within Facebook instead of closing down Facebook & opening the messenger app
Canada;The pest for sharing and keeping track of recipes
Singapore;It is awesome but paragraphs spacing and desktop version will be mind blowing!
Canada;How can I stop ads for singles popping up. It's bad enough I get 95% naked girls on my feed, note she thinks I'm looking at singles ads. I realise it's revenue,  but there same ad everytime?
India;This is the best app i have ever used but after update this app is showing ads after 2-3 post and that is irritating to see. Give some option to block that ads
Canada;I have a 12 iPad Pro and in this app the pics look dreadful. What app doesn't have a high def version? I will just use in Safari.
United States;Despite the weekly updates, I cannot read articles without the whole app lagging or forcing me out of Facebook completely. \nNeeds lots of work.
India;Excellent
Hong Kong;Please improve ....
Singapore;Nice app but should bring back the update before where in your followings, it sorted out by who you last followed to who you've been following the longest. I think that was neat. And please make a function available where you get to delete an account  where you forgot your password for. Please
United Kingdom;I'm Not able to see the posts for my notifications
Canada;Only suggestion is don't save posted photos
Hong Kong;
Singapore;?�
South Africa;It knows where you going, how fast, fastest reroute, an hazards like road works or cops.
Singapore;It's been years that I had use Instagram it's really great! But,now I can't because whenever I tried log into my acc it says sorry there was a problem with my request so I can't use Instagram anymore.Please fix this thank you.
India;Looking forward for more feature!!
Canada;Can't live without it!
Canada;The new algorithm sucks. I preferred a more random feed. If I want to see the same 10 people over and over I would use Facebook.
Australia;Instagram helps us a lot!
Hong Kong;Iphone  copy android
Canada;I have just been given my wife's old Fitbit Charge. She has the newer one. Other than the look and the new features of the new one, I think that the old Charge is great! ?
